incident_num,defendant_id,incident_date,arraignment_date,preAct164,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,def_gender,def_race,judge_id,,,
18BU004127,Defendant102,2018-02-25,2018-03-20,1,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,1,1,Male,White,Judge10,,,
18BU002175,Defendant186,2018-01-29,2018-03-20,1,Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor,3,0,1,0,0,No Bail,4,0,0,Male,White,Judge10,
18BU005826,Defendant919,2018-03-20,2018-03-21,1,Drugs - Heroin, Possession 200+ Milligrams,1,1,0,0,0,Remanded,,0,2,Female,White,Judge12,,
18SF002623,Defendant312,2017-10-23,2018-03-21,1,Violation Of An Abuse Prevention Order,1,0,0,0,0,No Bail,1,0,0,Male,White,Judge12,,,
18BU004247,Defendant79,2018-02-27,2018-03-22,1,Simple Assault,2,0,1,0,0,No Bail,1,0,0,Female,White,Judge10,,,
18BU006099,Defendant397,2018-03-24,2018-03-26,1,Lewd And Lascivious Conduct With A Child,1,1,0,0,0,No Bail,5,0,0,Male,White,Judge6,,,
18BU006053,Defendant920,2018-03-23,2018-03-26,1,Drugs - Heroin, Possession (Misdemeanor),1,0,1,0,0,No Bail,3,0,0,Female,Asian,Judge6,,
18BU006098,Defendant966,2018-03-24,2018-03-26,1,Assault On A Law Enforcement Officer (Misdemeanor),1,0,0,0,0,No Bail,3,0,0,Female,White,Judge6,,,
18BU006092,Defendant720,2018-03-24,2018-03-26,1,Larceny From A Person,2,1,0,0,0,No Bail,5,0,0,Male,White,Judge6,,,
18MP002103,Defendant566,2018-03-23,2018-03-26,1,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Female,Black,Judge6,,,
18BU004684,Defendant994,2018-03-05,2018-03-27,1,Disorderly Conduct - All Other,2,0,1,0,0,No Bail,1,0,0,Female,White,Judge1,,,
18BU004211,Defendant326,2018-02-26,2018-03-29,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,1,0,Male,White,Judge14,,,
18WS000984,Defendant203,2018-02-24,2018-03-29,1,Drugs - Depressant, Stimulant, And Narcotic Possession >100 X Dose,1,1,0,1,500,Bail,1,1,4,Male,White,Judge14,
18BU006676,Defendant789,2018-03-31,2018-04-02,1,Aggravated Assault,2,1,0,1,2500,Bail,5,0,0,Male,Black,Judge10,,,
18BU006642,Defendant851,2018-03-31,2018-04-02,1,Domestic Assault - 2nd Degree Aggravated,1,1,0,0,0,No Bail,3,0,0,Female,White,Judge10,,,
18BU007003,Defendant306,2018-04-05,2018-04-05,1,Arson - 4th Degree,2,0,1,0,0,Remanded,4,0,0,Male,White,Judge10,,,
17BU028707,Defendant104,2017-11-04,2018-04-05,1,Disorderly Conduct - All Other,1,0,1,1,100,Bail,1,1,1,Male,White,Judge10,,,
18ES01214,Defendant159,2018-03-05,2018-04-05,1,Drugs - Cocaine, Possession  >2.5 Gm,2,1,0,0,0,No Bail,3,0,0,Male,White,Judge10,,
