Agency,Driver Area,Race,Year,Agency Type,type,statistic
Brattleboro Police,Brattleboro, Black,2015,police,Traffic Stop Count,62
Brattleboro Police,Brattleboro, Asian,2015,police,Traffic Stop Count,33
Brattleboro Police,Brattleboro, Hispanic,2015,police,Traffic Stop Count,26
Brattleboro Police,Brattleboro, White,2016,police,Traffic Stop Count,2091
Brattleboro Police,Brattleboro, Black,2016,police,Traffic Stop Count,46
Brattleboro Police,Brattleboro, Asian,2016,police,Traffic Stop Count,18
Brattleboro Police,Brattleboro, Hispanic,2016,police,Traffic Stop Count,17
Brattleboro Police,Brattleboro, White,2017,police,Traffic Stop Count,4848
Brattleboro Police,Brattleboro, Black,2017,police,Traffic Stop Count,161
Brattleboro Police,Brattleboro, Asian,2017,police,Traffic Stop Count,67
Brattleboro Police,Brattleboro, Hispanic,2017,police,Traffic Stop Count,58
Brattleboro Police,Brattleboro, White,2018,police,Traffic Stop Count,3092
Brattleboro Police,Brattleboro, Black,2018,police,Traffic Stop Count,124
Brattleboro Police,Brattleboro, Asian,2018,police,Traffic Stop Count,41
Brattleboro Police,Brattleboro, Hispanic,2018,police,Traffic Stop Count,49
Brattleboro Police,Brattleboro, White,2019,police,Traffic Stop Count,3299
Brattleboro Police,Brattleboro, Black,2019,police,Traffic Stop Count,142
Brattleboro Police,Brattleboro, Asian,2019,police,Traffic Stop Count,28
Brattleboro Police,Brattleboro, Hispanic,2019,police,Traffic Stop Count,35
Bristol Police,Bristol, White,2014,police,Traffic Stop Count,68
Bristol Police,Bristol, Black,2014,police,Traffic Stop Count,3
Bristol Police,Bristol, White,2015,police,Traffic Stop Count,283
Bristol Police,Bristol, Black,2015,police,Traffic Stop Count,2
Bristol Police,Bristol, Hispanic,2015,police,Traffic Stop Count,1
Bristol Police,Bristol, White,2016,police,Traffic Stop Count,111
Bristol Police,Bristol, White,2017,police,Traffic Stop Count,461
Bristol Police,Bristol, Black,2017,police,Traffic Stop Count,2
Bristol Police,Bristol, Asian,2017,police,Traffic Stop Count,3
Bristol Police,Bristol, Hispanic,2017,police,Traffic Stop Count,4
Bristol Police,Bristol, White,2018,police,Traffic Stop Count,480
Bristol Police,Bristol, Black,2018,police,Traffic Stop Count,9
Bristol Police,Bristol, Asian,2018,police,Traffic Stop Count,2
Bristol Police,Bristol, Hispanic,2018,police,Traffic Stop Count,4
Burlington Police,Burlington, White,2012,police,Traffic Stop Count,4784
Burlington Police,Burlington, Black,2012,police,Traffic Stop Count,401
Burlington Police,Burlington, Asian,2012,police,Traffic Stop Count,205
Burlington Police,Burlington, Hispanic,2012,police,Traffic Stop Count,30
Burlington Police,Burlington, White,2013,police,Traffic Stop Count,3908
Burlington Police,Burlington, Black,2013,police,Traffic Stop Count,330
Burlington Police,Burlington, Asian,2013,police,Traffic Stop Count,184
Burlington Police,Burlington, Hispanic,2013,police,Traffic Stop Count,38
Burlington Police,Burlington, White,2014,police,Traffic Stop Count,4704
Burlington Police,Burlington, Black,2014,police,Traffic Stop Count,401
Burlington Police,Burlington, Asian,2014,police,Traffic Stop Count,234
Burlington Police,Burlington, Hispanic,2014,police,Traffic Stop Count,38
Burlington Police,Burlington, White,2015,police,Traffic Stop Count,4131
Burlington Police,Burlington, Black,2015,police,Traffic Stop Count,454
Burlington Police,Burlington, Asian,2015,police,Traffic Stop Count,209
Burlington Police,Burlington, Hispanic,2015,police,Traffic Stop Count,33
Burlington Police,Burlington, White,2016,police,Traffic Stop Count,4454
Burlington Police,Burlington, Black,2016,police,Traffic Stop Count,445
Burlington Police,Burlington, Asian,2016,police,Traffic Stop Count,207
Burlington Police,Burlington, Hispanic,2016,police,Traffic Stop Count,27
Burlington Police,Burlington, White,2017,police,Traffic Stop Count,2818
Burlington Police,Burlington, Black,2017,police,Traffic Stop Count,320
Burlington Police,Burlington, Asian,2017,police,Traffic Stop Count,156
Burlington Police,Burlington, Hispanic,2017,police,Traffic Stop Count,30
Burlington Police,Burlington, White,2018,police,Traffic Stop Count,2233
Burlington Police,Burlington, Black,2018,police,Traffic Stop Count,218
Burlington Police,Burlington, Asian,2018,police,Traffic Stop Count,112
Burlington Police,Burlington, Hispanic,2018,police,Traffic Stop Count,21
Burlington Police,Burlington, White,2019,police,Traffic Stop Count,1620
Burlington Police,Burlington, Black,2019,police,Traffic Stop Count,191
Burlington Police,Burlington, Asian,2019,police,Traffic Stop Count,104
Burlington Police,Burlington, Hispanic,2019,police,Traffic Stop Count,14
Caledonia County Sheriff,Caledonia County, White,2015,sheriff,Traffic Stop Count,101
Caledonia County Sheriff,Caledonia County, Black,2015,sheriff,Traffic Stop Count,1
Caledonia County Sheriff,Caledonia County, Asian,2015,sheriff,Traffic Stop Count,2
Caledonia County Sheriff,Caledonia County, Hispanic,2015,sheriff,Traffic Stop Count,1
Caledonia County Sheriff,Caledonia County, White,2016,sheriff,Traffic Stop Count,274
Caledonia County Sheriff,Caledonia County, Black,2016,sheriff,Traffic Stop Count,2
Caledonia County Sheriff,Caledonia County, Asian,2016,sheriff,Traffic Stop Count,1
Caledonia County Sheriff,Caledonia County, White,2017,sheriff,Traffic Stop Count,554
Caledonia County Sheriff,Caledonia County, Black,2017,sheriff,Traffic Stop Count,11
Caledonia County Sheriff,Caledonia County, Asian,2017,sheriff,Traffic Stop Count,2
Caledonia County Sheriff,Caledonia County, White,2018,sheriff,Traffic Stop Count,244
Caledonia County Sheriff,Caledonia County, Black,2018,sheriff,Traffic Stop Count,3
Caledonia County Sheriff,Caledonia County, Asian,2018,sheriff,Traffic Stop Count,1
Caledonia County Sheriff,Caledonia County, Hispanic,2018,sheriff,Traffic Stop Count,1
Castleton Police,Castleton, White,2016,police,Traffic Stop Count,579
Castleton Police,Castleton, Black,2016,police,Traffic Stop Count,4
Castleton Police,Castleton, Asian,2016,police,Traffic Stop Count,3
